object,count
person,880365
chair,98059
bowl,71591
bottle,51245
motorcycle,49249
car,44570
spoon,39588
potted plant,38481
tie,32395
truck,26994
cup,26973
dining table,24532
book,24506
tv,21773
laptop,20932
vase,20583
boat,19896
cell phone,15814
broccoli,15189
umbrella,15150
handbag,13974
oven,13603
bicycle,12671
backpack,12196
carrot,10964
apple,10907
bird,9096
sink,8888
cake,8181
knife,7906
bench,6685
bus,6242
refrigerator,5073
keyboard,4341
orange,4236
banana,4235
clock,4213
kite,3890
suitcase,3791
microwave,3776
bed,3750
airplane,3224
train,3087
donut,2978
teddy bear,2834
traffic light,2780
cow,2757
sandwich,2736
mouse,2585
dog,2582
sheep,2507
sports ball,2292
horse,2124
stop sign,2118
scissors,2105
surfboard,2047
wine glass,2035
toothbrush,1891
fork,1800
hot dog,1477
elephant,1323
remote,1180
couch,1130
frisbee,1065
pizza,1012
cat,844
baseball bat,743
tennis racket,561
bear,534
toilet,491
skis,488
skateboard,391
fire hydrant,367
snowboard,343
parking meter,256
hair drier,184
baseball glove,175
giraffe,131
zebra,101
toaster,70
